"1.1.64.0","1.1.127.255","16859136","16875519","JP","Japan"
"64.240.48.184","64.240.62.255","1089482936","1089486591","US","United States"
"109.234.248.0","109.234.255.255","1844115456","1844117503","DE","Germany"
"192.190.204.0","192.190.205.255","3233729536","3233730047","SG","Singapore"
"192.190.240.0","192.190.240.255","3233738752","3233739007","GB","United Kingdom"
"192.190.241.0","192.190.241.255","3233739008","3233739263","US","United States"
"192.190.242.0","192.190.242.255","3233739264","3233739519","FR","France"
"192.190.243.0","192.190.246.255","3233739520","3233740543","US","United States"
"200.9.226.0","200.9.226.255","3356090880","3356091135","BR","Brazil"
"200.9.227.0","200.9.227.255","3356091136","3356091391","AR","Argentina"
"200.9.228.0","200.9.228.255","3356091392","3356091647","CL","Chile"
"212.30.26.0","212.30.26.15","3558742528","3558742543","GB","United Kingdom"
"212.109.192.0","212.109.223.255","3563962368","3563970559","RU","Russian Federation"
"217.194.154.0","217.194.154.31","3653409280","3653409311","TZ","Tanzania, United Republic of"
